Entity,Formula,Dimensions,Tip/Hack,Likely MCQ
Density,"$\rho = \frac{m}{V}$",$[M L^{-3}]$,"Density is mass/volume, so $[M]/[L^3] = [M L^{-3}]$. Think 'dense mass'—mass packed in space.","Q: The dimensions of density are: A) $[M L^{-3}]$ B) $[M L^3]$ C) $[M L^{-2}]$ D) $[M L^{-1}]$ (Ans: A)"
Momentum,"$p = mv$",$[M L T^{-1}]$,"Momentum is mass × velocity, so $[M] \times [L T^{-1}] = [M L T^{-1}]$. Think 'moving mass'—mass in motion.","Q: The dimensions of momentum are: A) $[M L T^{-1}]$ B) $[M L T^{-2}]$ C) $[M L^2 T^{-1}]$ D) $[M T^{-1}]$ (Ans: A)"
Impulse,"$I = F\Delta t$",$[M L T^{-1}]$,"Impulse is force × time, so $[M L T^{-2}] \times [T] = [M L T^{-1}]$. Same as momentum—think 'impact moment'.","Q: The dimensions of impulse are: A) $[M L T^{-1}]$ B) $[M L T^{-2}]$ C) $[M L^2 T^{-1}]$ D) $[T^{-1}]$ (Ans: A)"
Frequency,"$f = \frac{1}{T}$",$[T^{-1}]$,"Frequency is 1/period, so $1/[T] = [T^{-1}]$. Think 'frequent ticks'—how often something happens.","Q: The dimensions of frequency are: A) $[T^{-1}]$ B) $[T]$ C) $[L T^{-1}]$ D) $[M T^{-1}]$ (Ans: A)"
Angular Velocity,"$\omega = \frac{\theta}{t}$",$[T^{-1}]$,"Angular velocity is angle/time, and angle is dimensionless, so $1/[T] = [T^{-1}]$. Same as frequency—think 'spin speed'.","Q: The dimensions of angular velocity are: A) $[T^{-1}]$ B) $[L T^{-1}]$ C) $[T^{-2}]$ D) $[M T^{-1}]$ (Ans: A)"
Moment of Inertia,"$I = mr^2$",$[M L^2]$,"Moment of inertia is mass × (distance)$^2$, so $[M] \times [L^2] = [M L^2]$. Think 'mass spin'—mass at a distance.","Q: The dimensions of moment of inertia are: A) $[M L^2]$ B) $[M L T^{-2}]$ C) $[M L^2 T^{-2}]$ D) $[M L]$ (Ans: A)"
Torque,"$\tau = Fr$",$[M L^2 T^{-2}]$,"Torque is force × distance, so $[M L T^{-2}] \times [L] = [M L^2 T^{-2}]$. Same as work—think 'twist work'.","Q: The dimensions of torque are: A) $[M L^2 T^{-2}]$ B) $[M L T^{-2}]$ C) $[M L^2 T^{-1}]$ D) $[M L T^{-1}]$ (Ans: A)"
Electric Charge,"$Q$",$[I T]$,"Charge is current × time, so $[I] \times [T] = [I T]$. Think 'current flow time'—charge builds over time.","Q: The dimensions of electric charge are: A) $[I T]$ B) $[I T^{-1}]$ C) $[M I T]$ D) $[I T^2]$ (Ans: A)"
Electric Potential,"$V = \frac{W}{Q}$",$[M L^2 T^{-3} I^{-1}]$,"Potential is work/charge, so $[M L^2 T^{-2}]/[I T] = [M L^2 T^{-3} I^{-1}]$. Think 'volt work'—work per charge.","Q: The dimensions of electric potential are: A) $[M L^2 T^{-3} I^{-1}]$ B) $[M L^2 T^{-2} I^{-1}]$ C) $[M L T^{-3} I^{-1}]$ D) $[I T]$ (Ans: A)"
Electric Field,"$E = \frac{F}{Q}$",$[M L T^{-3} I^{-1}]$,"Electric field is force/charge, so $[M L T^{-2}]/[I T] = [M L T^{-3} I^{-1}]$. Think 'force per charge'—push per unit charge.","Q: The dimensions of electric field are: A) $[M L T^{-3} I^{-1}]$ B) $[M L T^{-2} I^{-1}]$ C) $[M L^2 T^{-3} I^{-1}]$ D) $[I T]$ (Ans: A)"
Capacitance,"$C = \frac{Q}{V}$",$[I^2 T^4 M^{-1} L^{-2}]$,"Capacitance is charge/potential, so $[I T]/[M L^2 T^{-3} I^{-1}] = [I^2 T^4 M^{-1} L^{-2}]$. Think 'charge storage'—holds charge per voltage.","Q: The dimensions of capacitance are: A) $[I^2 T^4 M^{-1} L^{-2}]$ B) $[I T M^{-1} L^{-2}]$ C) $[M L^2 T^{-4} I^{-2}]$ D) $[I T]$ (Ans: A)"
Magnetic Field,"$B = \frac{F}{qv}$",$[M T^{-2} I^{-1}]$,"Magnetic field is force/(charge × velocity), so $[M L T^{-2}]/([I T] \times [L T^{-1}]) = [M T^{-2} I^{-1}]$. Think 'magnetic force'—force per moving charge.","Q: The dimensions of magnetic field are: A) $[M T^{-2} I^{-1}]$ B) $[M L T^{-2} I^{-1}]$ C) $[M T^{-1} I^{-1}]$ D) $[I T]$ (Ans: A)"
Gravitational Constant,"$F = \frac{GMm}{r^2}$",$[M^{-1} L^3 T^{-2}]$,"From $F = \frac{GMm}{r^2}$, $G = \frac{Fr^2}{Mm}$, so $([M L T^{-2}] \times [L^2])/([M] \times [M]) = [M^{-1} L^3 T^{-2}]$. Think 'gravity pulls'—relates masses and distance.","Q: The dimensions of gravitational constant $G$ are: A) $[M^{-1} L^3 T^{-2}]$ B) $[M L^3 T^{-2}]$ C) $[M^{-1} L^2 T^{-2}]$ D) $[M L T^{-2}]$ (Ans: A)"
Permittivity of Free Space,"$F = \frac{1}{4\pi\varepsilon_0} \frac{q_1 q_2}{r^2}$",$[M^{-1} L^{-3} T^4 I^2]$,"From $F = \frac{1}{4\pi\varepsilon_0} \frac{q_1 q_2}{r^2}$, $\varepsilon_0 = \frac{q_1 q_2}{4\pi F r^2}$, so $([I T] \times [I T])/([M L T^{-2}] \times [L^2]) = [M^{-1} L^{-3} T^4 I^2]$. Think 'electric space'—permits electric fields.","Q: The dimensions of $\varepsilon_0$ are: A) $[M^{-1} L^{-3} T^4 I^2]$ B) $[M L^3 T^{-4} I^{-2}]$ C) $[M^{-1} L^{-2} T^4 I^2]$ D) $[I T]$ (Ans: A)"
Planck’s Constant,"$E = h\nu$",$[M L^2 T^{-1}]$,"From $E = h\nu$, $h = \frac{E}{\nu}$, so $[M L^2 T^{-2}]/[T^{-1}] = [M L^2 T^{-1}]$. Think 'quantum energy'—energy per frequency.","Q: The dimensions of Planck’s constant are: A) $[M L^2 T^{-1}]$ B) $[M L^2 T^{-2}]$ C) $[M L T^{-1}]$ D) $[T^{-1}]$ (Ans: A)"
